IDSS	VP	VDD	RG1	RG2	RS	RD	RL	VGG	RG	IDQ	VGSQ	VDSQ	gm	AV	rig	ri	VDSQ<(VGS-VP)
0.02	-6	18	820000.0	100000.0	470	1000.0	10000.0	1.9565217391304348	89130.43478260869	0.0085714690308156	-2.072068705352895	5.3999405247010674	0.0043643681051634495	-3.9676073683304085	1000000.0	81836.32734530937	True
0.014	-4	18	820000.0	100000.0	470	1000.0	10000.0	1.9565217391304348	89130.43478260869	0.006759711100809932	-1.220542478250234	8.0632246818094	0.0048640506630620904	-4.421864239147355	1000000.0	81836.32734530937	True
0.008	-2	18	820000.0	100000.0	470	1000.0	10000.0	1.9565217391304348	89130.43478260869	0.005040431809307141	-0.41248121124392023	10.590565240318503	0.006350075155024319	-5.772795595476654	1000000.0	81836.32734530937	True
