Frecuencia	Ganancia	Fase
1.00000000000000e+000	-4.51319971106620e+001	-7.96406903367768e+000
1.07977516232771e+000	-4.37861679518126e+001	-8.64555912559492e+000
1.16591440117983e+000	-4.24389829573733e+001	-9.39190558884569e+000
1.25892541179417e+000	-4.10904395936949e+001	-1.02103916607598e+001
1.35935639087853e+000	-3.97405969937236e+001	-1.11091913324517e+001
1.46779926762207e+000	-3.83896001171304e+001	-1.20974380414514e+001
1.58489319246111e+000	-3.70377094090579e+001	-1.31852748818361e+001
1.71132830416178e+000	-3.56853362077202e+001	-1.43838750670312e+001
1.84784979742229e+000	-3.43330837170917e+001	-1.57054190773004e+001
1.99526231496888e+000	-3.29817927404472e+001	-1.71630131909863e+001
2.15443469003188e+000	-3.16325905671101e+001	-1.87705334978869e+001
2.32630506715363e+000	-3.02869404596501e+001	-2.05423806610488e+001
2.51188643150958e+000	-2.89466881918783e+001	-2.24931342258000e+001
2.71227257933203e+000	-2.76141011798987e+001	-2.46371015636663e+001
2.92864456462524e+000	-2.62918951089139e+001	-2.69877655839792e+001
3.16227766016838e+000	-2.49832427791884e+001	-2.95571465989356e+001
3.41454887383360e+000	-2.36917603359549e+001	-3.23551060353258e+001
3.68694506451958e+000	-2.24214671934721e+001	-3.53886313867260e+001
3.98107170553497e+000	-2.11767177811855e+001	-3.86611509929400e+001
4.29866234708228e+000	-1.99621055702738e+001	-4.21719321645162e+001
4.64158883361278e+000	-1.87823424144930e+001	-4.59156156310125e+001
5.01187233627272e+000	-1.76421187338955e+001	-4.98819329034826e+001
5.41169526546464e+000	-1.65459521634564e+001	-5.40556414282549e+001
5.84341413373518e+000	-1.54980337243488e+001	-5.84166966491198e+001
6.30957344480193e+000	-1.45020811958043e+001	-6.29406620223673e+001
6.81292069057961e+000	-1.35612091170779e+001	-6.75993395089233e+001
7.35642254459641e+000	-1.26778237673547e+001	-7.23615858605610e+001
7.94328234724281e+000	-1.18535496591909e+001	-7.71942656682647e+001
8.57695898590894e+000	-1.10891916946270e+001	-8.20632819560503e+001
9.26118728128793e+000	-1.03847343814214e+001	-8.69346201104068e+001
1.00000000000000e+001	-9.73937665079473e+000	-9.17753417630783e+001
1.07977516232771e+001	-9.15159815742171e+000	-9.65544719300130e+001
1.16591440117983e+001	-8.61925077732992e+000	-1.01243734529569e+002
1.25892541179417e+001	-8.13966759624052e+000	-1.05818106859338e+002
1.35935639087853e+001	-7.70978113546427e+000	-1.10256180637015e+002
1.46779926762207e+001	-7.32624288965310e+000	-1.14540333568045e+002
1.58489319246111e+001	-6.98553730844301e+000	-1.18656729138526e+002
1.71132830416178e+001	-6.68408490413123e+000	-1.22595172141920e+002
1.84784979742229e+001	-6.41833093475644e+000	-1.26348852840755e+002
1.99526231496888e+001	-6.18481784266431e+000	-1.29914013904714e+002
