VDS	ID
0.000000000000000e+000	1.230000e-012
1.000000000000000e-002	5.305556e-005
2.000000000000000e-002	1.060000e-004
3.000000000000000e-002	1.588333e-004
4.000000000000000e-002	2.115556e-004
5.000000000000000e-002	2.641667e-004
6.000000000000001e-002	3.166667e-004
7.000000000000001e-002	3.690555e-004
8.000000000000000e-002	4.213333e-004
9.000000000000000e-002	4.735000e-004
9.999999999999999e-002	5.255556e-004
1.100000000000000e-001	5.775000e-004
1.200000000000000e-001	6.293333e-004
1.300000000000000e-001	6.810555e-004
1.400000000000000e-001	7.326667e-004
1.500000000000000e-001	7.841667e-004
1.600000000000000e-001	8.355555e-004
1.700000000000000e-001	8.868334e-004
1.800000000000000e-001	9.380000e-004
1.900000000000000e-001	9.890556e-004
2.000000000000000e-001	1.040000e-003
2.100000000000001e-001	1.090833e-003
2.200000000000001e-001	1.141556e-003
2.300000000000001e-001	1.192167e-003
2.400000000000001e-001	1.242667e-003
2.500000000000001e-001	1.293056e-003
2.600000000000001e-001	1.343333e-003
2.700000000000001e-001	1.393500e-003
2.800000000000001e-001	1.443556e-003
2.900000000000001e-001	1.493500e-003
3.000000000000001e-001	1.543333e-003
3.100000000000001e-001	1.593056e-003
3.200000000000001e-001	1.642667e-003
3.300000000000001e-001	1.692167e-003
3.400000000000001e-001	1.741556e-003
3.500000000000001e-001	1.790833e-003
3.600000000000002e-001	1.840000e-003
3.700000000000002e-001	1.889056e-003
3.800000000000002e-001	1.938000e-003
3.900000000000002e-001	1.986833e-003
4.000000000000002e-001	2.035556e-003
4.100000000000002e-001	2.084167e-003
4.200000000000002e-001	2.132667e-003
4.300000000000002e-001	2.181055e-003
4.400000000000002e-001	2.229333e-003
4.500000000000002e-001	2.277500e-003
4.600000000000002e-001	2.325556e-003
4.700000000000003e-001	2.373500e-003
4.800000000000003e-001	2.421333e-003
4.900000000000003e-001	2.469056e-003
5.000000000000002e-001	2.516667e-003
5.100000000000002e-001	2.564167e-003
5.200000000000002e-001	2.611556e-003
5.300000000000003e-001	2.658833e-003
5.400000000000003e-001	2.706000e-003
5.500000000000003e-001	2.753056e-003
5.600000000000003e-001	2.800000e-003
5.700000000000003e-001	2.846833e-003
5.800000000000003e-001	2.893555e-003
5.900000000000003e-001	2.940167e-003
6.000000000000003e-001	2.986667e-003
6.100000000000003e-001	3.033055e-003
6.200000000000003e-001	3.079333e-003
6.300000000000003e-001	3.125500e-003
6.400000000000004e-001	3.171555e-003
6.500000000000004e-001	3.217500e-003
6.600000000000004e-001	3.263333e-003
6.700000000000004e-001	3.309055e-003
6.800000000000004e-001	3.354667e-003
6.900000000000004e-001	3.400167e-003
7.000000000000004e-001	3.445555e-003
7.100000000000004e-001	3.490833e-003
7.200000000000004e-001	3.536000e-003
7.300000000000004e-001	3.581056e-003
7.400000000000004e-001	3.626000e-003
7.500000000000004e-001	3.670833e-003
7.600000000000005e-001	3.715556e-003
7.700000000000005e-001	3.760167e-003
7.800000000000005e-001	3.804667e-003
7.900000000000005e-001	3.849056e-003
8.000000000000005e-001	3.893333e-003
8.100000000000005e-001	3.937500e-003
8.200000000000005e-001	3.981555e-003
8.300000000000005e-001	4.025500e-003
8.400000000000005e-001	4.069333e-003
8.500000000000005e-001	4.113056e-003
8.600000000000005e-001	4.156667e-003
8.700000000000006e-001	4.200167e-003
8.800000000000006e-001	4.243555e-003
8.900000000000006e-001	4.286833e-003
9.000000000000006e-001	4.330000e-003
9.100000000000006e-001	4.373055e-003
9.200000000000006e-001	4.416000e-003
9.300000000000006e-001	4.458833e-003
9.400000000000006e-001	4.501556e-003
9.500000000000006e-001	4.544167e-003
9.600000000000006e-001	4.586667e-003
9.700000000000006e-001	4.629056e-003
9.800000000000007e-001	4.671333e-003
9.900000000000007e-001	4.713500e-003
1.000000000000001e+000	4.755556e-003
1.010000000000001e+000	4.797500e-003
1.020000000000001e+000	4.839333e-003
1.030000000000001e+000	4.881056e-003
1.040000000000001e+000	4.922667e-003
1.050000000000001e+000	4.964167e-003
1.060000000000001e+000	5.005556e-003
1.070000000000001e+000	5.046833e-003
1.080000000000001e+000	5.088000e-003
1.090000000000001e+000	5.129056e-003
1.100000000000001e+000	5.170000e-003
1.110000000000001e+000	5.210833e-003
1.120000000000001e+000	5.251556e-003
1.130000000000001e+000	5.292166e-003
1.140000000000001e+000	5.332666e-003
1.150000000000001e+000	5.373056e-003
1.160000000000001e+000	5.413333e-003
1.170000000000001e+000	5.453500e-003
1.180000000000001e+000	5.493556e-003
1.190000000000001e+000	5.533500e-003
1.200000000000001e+000	5.573333e-003
1.210000000000001e+000	5.613056e-003
1.220000000000001e+000	5.652667e-003
1.230000000000001e+000	5.692167e-003
1.240000000000001e+000	5.731556e-003
1.250000000000001e+000	5.770833e-003
1.260000000000001e+000	5.810000e-003
1.270000000000001e+000	5.849055e-003
1.280000000000001e+000	5.888000e-003
1.290000000000001e+000	5.926833e-003
1.300000000000001e+000	5.965556e-003
1.310000000000001e+000	6.004167e-003
1.320000000000001e+000	6.042667e-003
1.330000000000001e+000	6.081055e-003
1.340000000000001e+000	6.119333e-003
1.350000000000001e+000	6.157500e-003
1.360000000000001e+000	6.195555e-003
1.370000000000001e+000	6.233500e-003
1.380000000000001e+000	6.271333e-003
1.390000000000001e+000	6.309056e-003
1.400000000000001e+000	6.346667e-003
1.410000000000001e+000	6.384167e-003
1.420000000000001e+000	6.421556e-003
1.430000000000001e+000	6.458833e-003
1.440000000000001e+000	6.496000e-003
1.450000000000001e+000	6.533056e-003
1.460000000000001e+000	6.570000e-003
