time	Vo
0.000000000000000e+000	1.970101e+001
4.553154570513529e-006	1.970306e+001
1.365946371151283e-005	1.970502e+001
3.187208199353919e-005	1.969759e+001
6.015710677390040e-005	1.964902e+001
1.167271563346228e-004	1.943995e+001
1.791336476160976e-004	1.904132e+001
2.591336476160944e-004	1.827750e+001
3.391336476160911e-004	1.726516e+001
4.191336476160879e-004	1.602834e+001
4.991336476160846e-004	1.461891e+001
5.791336476160813e-004	1.309911e+001
6.591336476160781e-004	1.154084e+001
7.391336476160748e-004	1.002384e+001
8.191336476160716e-004	8.633107e+000
8.991336476160683e-004	7.455466e+000
9.791336476160650e-004	6.575316e+000
1.059133647616062e-003	6.069878e+000
1.139133647616059e-003	6.004255e+000
1.219133647616055e-003	6.426760e+000
1.299133647616052e-003	7.364728e+000
1.379133647616049e-003	8.820704e+000
1.459133647616046e-003	1.076802e+001
1.539133647616042e-003	1.314087e+001
1.619133647616039e-003	1.579560e+001
1.684100448593434e-003	1.795631e+001
1.710010916668836e-003	1.864424e+001
1.728878965207931e-003	1.896516e+001
1.735348202221737e-003	1.903930e+001
1.745647832062436e-003	1.913359e+001
1.756006095475687e-003	1.921370e+001
1.770215753993970e-003	1.930405e+001
1.785576520976384e-003	1.938301e+001
1.806300106644065e-003	1.946686e+001
1.831911674990527e-003	1.954701e+001
1.864964661806690e-003	1.962324e+001
1.905606097069912e-003	1.967756e+001
1.951199296554435e-003	1.967021e+001
2.002214154145254e-003	1.954984e+001
2.065651738466207e-003	1.922894e+001
2.134148654548834e-003	1.867316e+001
2.214148654548831e-003	1.777133e+001
2.294148654548828e-003	1.663519e+001
2.374148654548824e-003	1.530077e+001
2.454148654548821e-003	1.382530e+001
2.534148654548818e-003	1.227632e+001
2.614148654548815e-003	1.073012e+001
2.694148654548811e-003	9.269570e+000
2.774148654548808e-003	7.981075e+000
2.854148654548805e-003	6.950709e+000
2.934148654548802e-003	6.259677e+000
3.014148654548798e-003	5.979379e+000
3.094148654548795e-003	6.166577e+000
3.174148654548792e-003	6.858987e+000
3.254148654548789e-003	8.071325e+000
3.334148654548785e-003	9.791393e+000
3.414148654548782e-003	1.197370e+001
3.494148654548779e-003	1.451936e+001
3.574148654548776e-003	1.724096e+001
3.608590356222130e-003	1.832760e+001
3.627006255799509e-003	1.876409e+001
3.635149753339950e-003	1.889188e+001
3.644672889714762e-003	1.900360e+001
3.654690521634973e-003	1.910263e+001
3.664733779047052e-003	1.918563e+001
3.676904849583995e-003	1.926939e+001
3.689987286609159e-003	1.934346e+001
3.707794395480302e-003	1.942505e+001
3.727470772288660e-003	1.949663e+001
3.755843995077668e-003	1.957673e+001
3.786874835123716e-003	1.964108e+001
3.826657393007305e-003	1.968422e+001
3.870376440474527e-003	1.965829e+001
3.932533572649388e-003	1.946784e+001
4.005317022721500e-003	1.902815e+001
4.078393700483712e-003	1.834686e+001
4.158393700483709e-003	1.734674e+001
4.238393700483706e-003	1.612479e+001
4.318393700483703e-003	1.472588e+001
4.398393700483699e-003	1.321152e+001
4.478393700483696e-003	1.165294e+001
4.558393700483693e-003	1.012942e+001
4.638393700483690e-003	8.725700e+000
4.718393700483686e-003	7.528631e+000
4.798393700483683e-003	6.622994e+000
4.878393700483680e-003	6.086754e+000
4.958393700483676e-003	5.986122e+000
5.038393700483673e-003	6.370845e+000
5.118393700483670e-003	7.269986e+000
5.198393700483667e-003	8.688092e+000
5.278393700483663e-003	1.060090e+001
5.358393700483660e-003	1.294618e+001
5.438393700483657e-003	1.557198e+001
5.518393700483654e-003	1.814870e+001
5.545996642459555e-003	1.881281e+001
5.560782124351432e-003	1.902086e+001
5.575471101317092e-003	1.915999e+001
5.585947236113803e-003	1.923913e+001
5.597800364817301e-003	1.931160e+001
5.614453171092160e-003	1.939554e+001
5.629802698919634e-003	1.945780e+001
5.656374759793303e-003	1.954279e+001
5.682136201014237e-003	1.960578e+001
5.723912744077603e-003	1.967186e+001
5.764465263612129e-003	1.967703e+001
5.826662883410938e-003	1.953462e+001
5.906662883410935e-003	1.910952e+001
5.980564427885748e-003	1.846485e+001
6.060564427885745e-003	1.750050e+001
6.140564427885742e-003	1.630739e+001
6.220564427885739e-003	1.492950e+001
6.300564427885735e-003	1.342690e+001
6.380564427885732e-003	1.186956e+001
6.460564427885729e-003	1.033580e+001
6.540564427885726e-003	8.909788e+000
6.620564427885722e-003	7.678347e+000
6.700564427885719e-003	6.726840e+000
6.780564427885716e-003	6.134503e+000
6.860564427885713e-003	5.969499e+000
6.940564427885709e-003	6.284156e+000
7.020564427885706e-003	7.110673e+000
7.100564427885703e-003	8.457260e+000
7.180564427885700e-003	1.030401e+001
7.260564427885696e-003	1.259495e+001
7.340564427885693e-003	1.520287e+001
7.420564427885690e-003	1.779851e+001
7.459561979678869e-003	1.876733e+001
7.481759614610450e-003	1.908881e+001
7.495429352702948e-003	1.920878e+001
7.507229582054270e-003	1.928818e+001
7.518921724482625e-003	1.935208e+001
7.537961996741893e-003	1.943705e+001
7.556012405241286e-003	1.950067e+001
7.592113222240071e-003	1.959726e+001
7.624814255407064e-003	1.965550e+001
7.675007210117296e-003	1.967973e+001
7.722655833361181e-003	1.959723e+001
7.802655833361177e-003	1.921880e+001
7.882655833361174e-003	1.857298e+001
7.962655833361171e-003	1.765054e+001
8.042655833361168e-003	1.648779e+001
8.122655833361164e-003	1.513267e+001
8.202655833361161e-003	1.364371e+001
8.282655833361158e-003	1.208960e+001
8.362655833361155e-003	1.054760e+001
8.442655833361151e-003	9.101239e+000
8.522655833361148e-003	7.837185e+000
8.602655833361145e-003	6.841283e+000
8.682655833361141e-003	6.193938e+000
8.762655833361138e-003	5.965168e+000
8.842655833361135e-003	6.209797e+000
8.922655833361132e-003	6.963100e+000
9.002655833361128e-003	8.236896e+000
9.082655833361125e-003	1.001555e+001
9.162655833361122e-003	1.224895e+001
9.242655833361119e-003	1.482697e+001
9.322655833361115e-003	1.752092e+001
9.357181225444738e-003	1.846108e+001
9.397093677634999e-003	1.911793e+001
9.409248043436125e-003	1.923168e+001
