Frecuencia	Real	Imag
2.51188643150958e+003	-7.40774401670095e-002	2.60871246602799e-001
2.71227257933203e+003	-6.25630129488416e-002	2.87716650870130e-001
2.92864456462524e+003	-4.84487748667467e-002	3.15115085939515e-001
3.16227766016838e+003	-3.15916544770943e-002	3.42838416775186e-001
3.41454887383360e+003	-1.18644278816091e-002	3.70624803994756e-001
3.68694506451957e+003	1.08363141182549e-002	3.98176286453628e-001
3.98107170553497e+003	3.65803803906761e-002	4.25158376397418e-001
4.29866234708228e+003	6.53928816421820e-002	4.51202448944133e-001
4.64158883361278e+003	9.72426352154274e-002	4.75911600184163e-001
5.01187233627272e+003	1.32031190421383e-001	4.98870414603980e-001
5.41169526546464e+003	1.69583833710715e-001	5.19658707735727e-001
5.84341413373518e+003	2.09644041460475e-001	5.37868806541345e-001
6.30957344480193e+003	2.51872752444073e-001	5.53125349730221e-001
6.81292069057961e+003	2.95853483955897e-001	5.65106026090110e-001
7.35642254459641e+003	3.41103715160182e-001	5.73561243311406e-001
7.94328234724281e+003	3.87092174404330e-001	5.78330555923129e-001
8.57695898590894e+003	4.33260824645730e-001	5.79353864269744e-001
9.26118728128794e+003	4.79049612877621e-001	5.76675938782885e-001
1.00000000000000e+004	5.23921599512121e-001	5.70443646525439e-001
1.07977516232771e+004	5.67386019405935e-001	5.60896204060506e-001
1.16591440117983e+004	6.09017162662458e-001	5.48349660275072e-001
1.25892541179417e+004	6.48467618183777e-001	5.33177452755602e-001
1.35935639087853e+004	6.85475244024189e-001	5.15789177162396e-001
1.46779926762207e+004	7.19864042165151e-001	4.96609646316805e-001
1.58489319246111e+004	7.51539775127444e-001	4.76059961416373e-001
1.71132830416178e+004	7.80481581569391e-001	4.54541788675259e-001
1.84784979742229e+004	8.06731009578291e-001	4.32425457717249e-001
1.99526231496888e+004	8.30379826962086e-001	4.10041977877627e-001
2.15443469003188e+004	8.51557756039390e-001	3.87678670161053e-001
2.32630506715363e+004	8.70420991601385e-001	3.65577859432780e-001
2.51188643150958e+004	8.87142059273013e-001	3.43937954417112e-001
2.71227257933203e+004	9.01901302020565e-001	3.22916233889357e-001
2.92864456462524e+004	9.14880068781028e-001	3.02632720916407e-001
3.16227766016838e+004	9.26255527811355e-001	2.83174630078929e-001
3.41454887383360e+004	9.36196933656133e-001	2.64600989153300e-001
3.68694506451958e+004	9.44863129918725e-001	2.46947148930324e-001
3.98107170553497e+004	9.52401057775944e-001	2.30228992492680e-001
4.29866234708228e+004	9.58945050674178e-001	2.14446734037792e-001
4.64158883361278e+004	9.64616719256514e-001	1.99588256852295e-001
5.01187233627272e+004	9.69525260141495e-001	1.85631982244994e-001
5.41169526546464e+004	9.73768052855187e-001	1.72549289100176e-001
5.84341413373518e+004	9.77431438044691e-001	1.60306520421695e-001
6.30957344480193e+004	9.80591595508106e-001	1.48866621756870e-001
6.81292069057961e+004	9.83315461957471e-001	1.38190459210872e-001
7.35642254459641e+004	9.85661645783665e-001	1.28237863857081e-001
7.94328234724282e+004	9.87681309751735e-001	1.18968446193802e-001
8.57695898590894e+004	9.89419003017159e-001	1.10342219948994e-001
9.26118728128793e+004	9.90913431658596e-001	1.02320069712850e-001
1.00000000000000e+005	9.92198162589202e-001	9.48640920486540e-002
1.07977516232771e+005	9.93302259698606e-001	8.79378351758474e-002
1.16591440117983e+005	9.94250853783734e-001	8.15064581866763e-002
1.25892541179417e+005	9.95065649570059e-001	7.55368271135382e-002
1.35935639087853e+005	9.95765374162288e-001	6.99975620174244e-002
1.46779926762207e+005	9.96366171794483e-001	6.48590465945698e-002
1.58489319246111e+005	9.96881949927061e-001	6.00934095567523e-002
1.71132830416178e+005	9.97324681676669e-001	5.56744851808154e-002
1.84784979742229e+005	9.97704669349058e-001	5.15777588935718e-002
1.99526231496888e+005	9.98030773536210e-001	4.77803025101166e-002
2.15443469003188e+005	9.98310611880530e-001	4.42607027317697e-002
2.32630506715363e+005	9.98550731231128e-001	4.09989856945528e-002
2.51188643150958e+005	9.98756756540481e-001	3.79765397057434e-002
2.71227257933203e+005	9.98933519487210e-001	3.51760377852646e-002
2.92864456462524e+005	9.99085169470281e-001	3.25813612156989e-002
3.16227766016838e+005	9.99215269306168e-001	3.01775249790174e-002
3.41454887383360e+005	9.99326877674993e-001	2.79506057026839e-002
3.68694506451958e+005	9.99422620104823e-001	2.58876725387365e-002
3.98107170553497e+005	9.99504750053993e-001	2.39767212454030e-002
4.29866234708228e+005	9.99575201448047e-001	2.22066116226025e-002
4.64158883361278e+005	9.99635633848642e-001	2.05670083628805e-002
5.01187233627272e+005	9.99687471274406e-001	1.90483253119518e-002
5.41169526546464e+005	9.99731935556087e-001	1.76416730833058e-002
5.84341413373517e+005	9.99770074988320e-001	1.63388099354142e-002
6.30957344480193e+005	9.99802788935920e-001	1.51320957949383e-002
6.81292069057961e+005	9.99830848962001e-001	1.40144492925284e-002
7.35642254459641e+005	9.99854916966698e-001	1.29793076674118e-002
7.94328234724281e+005	9.99875560757354e-001	1.20205893914748e-002
8.57695898590894e+005	9.99893267412328e-001	1.11326593617370e-002
9.26118728128793e+005	9.99908454749946e-001	1.03102965110775e-002
1.00000000000000e+006	9.99921481170426e-001	9.54866369003572e-003
1.07977516232771e+006	9.99932654100968e-001	8.84327967693154e-003
1.16591440117983e+006	9.99942237241813e-001	8.18999317895374e-003
1.25892541179417e+006	9.99950456783165e-001	7.58495869293412e-003
1.35935639087853e+006	9.99957506738905e-001	7.02461410097507e-003
1.46779926762207e+006	9.99963553522379e-001	6.50565988274193e-003
1.58489319246111e+006	9.99968739871839e-001	6.02503983291192e-003
1.71132830416178e+006	9.99973188217867e-001	5.57992317888025e-003
1.84784979742229e+006	9.99977003572028e-001	5.16768800027870e-003
1.99526231496888e+006	9.99980276004783e-001	4.78590585810577e-003
2.15443469003188e+006	9.99983082771017e-001	4.43232754726228e-003
2.32630506715363e+006	9.99985490133261e-001	4.10486989200465e-003
2.51188643150958e+006	9.99987554925604e-001	3.80160350925921e-003
2.71227257933203e+006	9.99989325895134e-001	3.52074146987541e-003
2.92864456462524e+006	9.99990844852560e-001	3.26062879273621e-003
3.16227766016838e+006	9.99992147659148e-001	3.01973271119330e-003
3.41454887383360e+006	9.99993265073247e-001	2.79663365556137e-003
3.68694506451957e+006	9.99994223476378e-001	2.59001689939907e-003
3.98107170553497e+006	9.99995045496020e-001	2.39866482103682e-003
4.29866234708228e+006	9.99995750539785e-001	2.22144973529448e-003
4.64158883361278e+006	9.99996355253584e-001	2.05732725357873e-003
5.01187233627272e+006	9.99996873914610e-001	1.90533013357434e-003
5.41169526546464e+006	9.99997318768397e-001	1.76456258255703e-003
5.84341413373517e+006	9.99997700317927e-001	1.63419498097226e-003
6.30957344480193e+006	9.99998027571585e-001	1.51345899535633e-003
6.81292069057961e+006	9.99998308255847e-001	1.40164305193456e-003
7.35642254459641e+006	9.99998548997690e-001	1.29808814432889e-003
7.94328234724281e+006	9.99998755481058e-001	1.20218395075347e-003
8.57695898590894e+006	9.99998932581052e-001	1.11336523788313e-003
9.26118728128793e+006	9.99999084479032e-001	1.03110853025478e-003
1.00000000000000e+007	9.99999214761336e-001	9.54929025615418e-004
1.07977516232771e+007	9.99999326503956e-001	8.84377738071114e-004
1.16591440117983e+007	9.99999422345160e-001	8.19038852226658e-004
1.25892541179417e+007	9.99999504547779e-001	7.58527272743476e-004
1.35935639087853e+007	9.99999575052637e-001	7.02486354890691e-004
1.46779926762207e+007	9.99999635524372e-001	6.50585802727285e-004
1.58489319246111e+007	9.99999687390735e-001	6.02519722538566e-004
1.71132830416178e+007	9.99999731876306e-001	5.58004820062820e-004
1.84784979742229e+007	9.99999770031400e-001	5.16778730889788e-004
1.99526231496888e+007	9.99999802756870e-001	4.78598474196044e-004
2.15443469003188e+007	9.99999830825372e-001	4.43239020708144e-004
2.32630506715363e+007	9.99999854899613e-001	4.10491966456776e-004
2.51188643150958e+007	9.99999875547991e-001	3.80164304507923e-004
2.71227257933203e+007	9.99999893258020e-001	3.52077287433975e-004
2.92864456462524e+007	9.99999908447841e-001	3.26065373822041e-004
3.16227766016838e+007	9.99999921476088e-001	3.01975252611718e-004
3.41454887383360e+007	9.99999932650362e-001	2.79664939512949e-004
3.68694506451958e+007	9.99999942234491e-001	2.59002940179238e-004
3.98107170553497e+007	9.99999950454760e-001	2.39867475204762e-004
4.29866234708228e+007	9.99999957505251e-001	2.22145762378137e-004
4.64158883361278e+007	9.99999963552427e-001	2.05733351962974e-004
5.01187233627272e+007	9.99999968739066e-001	1.90533511087773e-004
5.41169526546464e+007	9.99999973187625e-001	1.76456653617111e-004
5.84341413373518e+007	9.99999977003136e-001	1.63419812144055e-004
6.30957344480193e+007	9.99999980275684e-001	1.51346148991963e-004
6.81292069057961e+007	9.99999983082535e-001	1.40164503343709e-004
7.35642254459641e+007	9.99999985489960e-001	1.29808971829261e-004
7.94328234724282e+007	9.99999987554799e-001	1.20218520099751e-004
8.57695898590894e+007	9.99999989325801e-001	1.11336623098742e-004
9.26118728128794e+007	9.99999990844784e-001	1.03110931910566e-004
1.00000000000000e+008	9.99999992147608e-001	9.54929652222009e-005
