Frecuencia	Ganancia	Fase
6.81292069057961e+002	-2.84046599859683e+001	1.77238487815608e+002
7.35642254459641e+002	-2.70761692302785e+001	1.72739141097419e+002
7.94328234724281e+002	-2.57932711870001e+001	1.68218623437290e+002
8.57695898590894e+002	-2.45557755328726e+001	1.63692722525543e+002
9.26118728128793e+002	-2.33631885651362e+001	1.59176674366845e+002
1.00000000000000e+003	-2.22147265684241e+001	1.54684888285549e+002
1.07977516232771e+003	-2.11093357263324e+001	1.50230676577661e+002
1.16591440117983e+003	-2.00457193744471e+001	1.45825996896867e+002
1.25892541179417e+003	-1.90223729684972e+001	1.41481219313596e+002
1.35935639087853e+003	-1.80376264300290e+001	1.37204932152810e+002
1.46779926762207e+003	-1.70896927034823e+001	1.33003800469470e+002
1.58489319246111e+003	-1.61767206082178e+001	1.28882488334633e+002
1.71132830416178e+003	-1.52968495573531e+001	1.24843651592106e+002
1.84784979742229e+003	-1.44482635269571e+001	1.20888002402459e+002
1.99526231496888e+003	-1.36292417919901e+001	1.17014441770704e+002
2.15443469003188e+003	-1.28382043260818e+001	1.13220252181657e+002
2.32630506715363e+003	-1.20737502789164e+001	1.09501339880060e+002
2.51188643150958e+003	-1.13346884822320e+001	1.05852515259265e+002
2.71227257933203e+003	-1.06200594016128e+001	1.02267799968031e+002
2.92864456462524e+003	-9.92914829320321e+000	9.87407502310516e+001
3.16227766016838e+003	-9.26148953018147e+000	9.52647869835270e+001
3.41454887383360e+003	-8.61686215668566e+000	9.18335242909531e+001
3.68694506451957e+003	-7.99527675561869e+000	8.84410878543665e+001
3.98107170553497e+003	-7.39695374403703e+000	8.50824150656269e+001
4.29866234708228e+003	-6.82229330065855e+000	8.17535271559825e+001
4.64158883361278e+003	-6.27183734010151e+000	7.84517627513082e+001
5.01187233627272e+003	-5.74622431211870e+000	7.51759610585357e+001
5.41169526546464e+003	-5.24613812253035e+000	7.19265825247101e+001
5.84341413373518e+003	-4.77225310457523e+000	6.87057557161439e+001
6.30957344480193e+003	-4.32517762833791e+000	6.55172418261811e+001
6.81292069057961e+003	-3.90539949731765e+000	6.23663128284706e+001
7.35642254459641e+003	-3.51323660382033e+000	5.92595456321386e+001
7.94328234724281e+003	-3.14879627351126e+000	5.62045419824641e+001
8.57695898590894e+003	-2.81194625258920e+000	5.32095912017492e+001
9.26118728128794e+003	-2.50229939075279e+000	5.02832989020268e+001
1.00000000000000e+004	-2.21921285532601e+000	4.74342083576365e+001
1.07977516232771e+004	-1.96180135904673e+000	4.46704415608845e+001
1.16591440117983e+004	-1.72896261339302e+000	4.19993839958746e+001
1.25892541179417e+004	-1.51941222967729e+000	3.94274314219362e+001
1.35935639087853e+004	-1.33172471467318e+000	3.69598095346925e+001
1.46779926762207e+004	-1.16437708835307e+000	3.46004695609753e+001
1.58489319246111e+004	-1.01579194139182e+000	3.23520558329010e+001
1.71132830416178e+004	-8.84377338165626e-001	3.02159360230744e+001
1.84784979742229e+004	-7.68561717596231e-001	2.81922814031917e+001
1.99526231496888e+004	-6.66822716185983e-001	2.62801831835879e+001
2.15443469003188e+004	-5.77709531953662e-001	2.44777913647592e+001
2.32630506715363e+004	-4.99859002092986e-001	2.27824640892086e+001
2.51188643150958e+004	-4.32005957256503e-001	2.11909177066968e+001
2.71227257933203e+004	-3.72988647641614e-001	1.96993702134908e+001
2.92864456462524e+004	-3.21750135346239e-001	1.83036730697727e+001
3.16227766016838e+004	-2.77336546683815e-001	1.69994284374074e+001
3.41454887383360e+004	-2.38893010498514e-001	1.57820905188576e+001
3.68694506451958e+004	-2.05658002774494e-001	1.46470509026193e+001
3.98107170553497e+004	-1.76956696271964e-001	1.35897086667579e+001
4.29866234708228e+004	-1.52193792123093e-001	1.26055265212755e+001
4.64158883361278e+004	-1.30846197993566e-001	1.16900745514305e+001
5.01187233627272e+004	-1.12455819680966e-001	1.08390632238694e+001
5.41169526546464e+004	-9.66226517389199e-002	1.00483672925341e+001
