Time	Vo
374	6.24000
375	6.08000
376	5.92000
377	5.68000
378	5.52000
379	5.20000
380	4.96000
381	4.72000
382	4.40000
383	4.08000
384	3.68000
385	3.28000
386	2.96000
387	2.48000
388	2.16000
389	1.76000
390	1.28000
391	0.88000
392	0.48000
393	0.00000
394	-0.40000
395	-0.80000
396	-1.28000
397	-1.68000
398	-2.08000
399	-2.56000
400	-2.96000
401	-3.28000
402	-3.68000
403	-4.08000
404	-4.40000
405	-4.72000
406	-4.96000
407	-5.28000
408	-5.52000
409	-5.84000
410	-6.00000
411	-6.24000
412	-6.40000
413	-6.56000
414	-6.56000
415	-6.72000
416	-6.80000
417	-6.80000
418	-6.80000
419	-6.72000
420	-6.64000
421	-6.56000
422	-6.48000
423	-6.24000
424	-6.08000
425	-5.84000
426	-5.52000
427	-5.28000
428	-4.96000
429	-4.64000
430	-4.24000
431	-3.76000
432	-3.28000
433	-2.80000
434	-2.32000
435	-1.84000
436	-1.20000
437	-0.64000
438	-0.08000
439	0.56000
440	1.20000
441	1.76000
442	2.40000
443	3.04000
444	3.68000
445	4.32000
446	4.80000
447	5.44000
448	5.84000
449	6.08000
450	6.16000
451	6.32000
452	6.40000
453	6.40000
454	6.48000
455	6.56000
456	6.56000
457	6.56000
458	6.56000
459	6.48000
460	6.40000
461	6.24000
462	6.08000
463	5.92000
464	5.76000
465	5.52000
466	5.28000
467	4.96000
468	4.72000
469	4.40000
470	4.08000
471	3.76000
472	3.36000
473	2.96000
474	2.56000
475	2.16000
476	1.76000
477	1.36000
478	0.88000
479	0.40000
480	0.08000
481	-0.40000
482	-0.80000
483	-1.20000
484	-1.68000
485	-2.08000
486	-2.48000
487	-2.96000
488	-3.36000
489	-3.68000
490	-4.08000
491	-4.40000
492	-4.72000
493	-4.96000
494	-5.28000
495	-5.52000
496	-5.84000
497	-6.08000
498	-6.16000
499	-6.32000
500	-6.56000
501	-6.64000
502	-6.72000
503	-6.72000
504	-6.80000
505	-6.80000
506	-6.80000
507	-6.72000
508	-6.56000
509	-6.48000
510	-6.32000
511	-6.16000
512	-5.92000
513	-5.68000
514	-5.36000
515	-5.04000
516	-4.64000
517	-4.32000
518	-3.84000
519	-3.44000
520	-2.96000
521	-2.40000
522	-1.84000
523	-1.28000
524	-0.72000
525	-0.16000
526	0.48000
527	1.12000
528	1.76000
529	2.40000
530	2.96000
531	3.60000
532	4.24000
533	4.80000
534	5.36000
535	5.84000
536	6.00000
537	6.24000
538	6.24000
539	6.40000
540	6.40000
541	6.48000
542	6.56000
543	6.56000
544	6.56000
545	6.48000
546	6.40000
