Frecuencia	Ganancia	Fase
1.00000000000000e+000	-1.70322345966666e+001	-4.48189631441527e+001
1.07977516232771e+000	-1.60444990789748e+001	-4.67854291398293e+001
1.16591440117983e+000	-1.50759794847684e+001	-4.87201467578417e+001
1.25892541179417e+000	-1.41252172904979e+001	-5.06151861158043e+001
1.35935639087853e+000	-1.31905090747538e+001	-5.24646404992721e+001
1.46779926762207e+000	-1.22699653273820e+001	-5.42649557602472e+001
1.58489319246111e+000	-1.13615785488509e+001	-5.60151805659177e+001
1.71132830416178e+000	-1.04632980796392e+001	-5.77171298507741e+001
1.84784979742229e+000	-9.57310928997898e+000	-5.93754570916981e+001
1.99526231496888e+000	-8.68911498219828e+000	-6.09976326238950e+001
2.15443469003188e+000	-7.80961696346144e+000	-6.25938255172686e+001
2.32630506715363e+000	-6.93319564239020e+000	-6.41766863574339e+001
2.51188643150958e+000	-6.05878517584130e+000	-6.57610286519523e+001
2.71227257933203e+000	-5.18574121409990e+000	-6.73634084642962e+001
2.92864456462524e+000	-4.31389780710707e+000	-6.90016058736185e+001
3.16227766016838e+000	-3.44360972217181e+000	-7.06940180294338e+001
3.41454887383360e+000	-2.57577645838661e+000	-7.24589813589012e+001
3.68694506451958e+000	-1.71184474476238e+000	-7.43140487933330e+001
3.98107170553497e+000	-8.53787308735403e-001	-7.62752553063932e+001
4.29866234708228e+000	-4.05712779107432e-003	-7.83564102105753e+001
4.64158883361278e+000	8.34481929684848e-001	-8.05684564903033e+001
5.01187233627272e+000	1.65864541902455e+000	-8.29189354679263e+001
5.41169526546464e+000	2.46503534653355e+000	-8.54115894352495e+001
5.84341413373518e+000	3.25015842379567e+000	-8.80461262082919e+001
6.30957344480193e+000	4.01054928826818e+000	-9.08181588998517e+001
6.81292069057961e+000	4.74289217492729e+000	-9.37193227221859e+001
7.35642254459641e+000	5.44413477839066e+000	-9.67375594649327e+001
7.94328234724281e+000	6.11158874333952e+000	-9.98575504041529e+001
8.57695898590894e+000	6.74301226119493e+000	-1.03061270487106e+002
9.26118728128793e+000	7.33667151293001e+000	-1.06328631094927e+002
1.00000000000000e+001	7.89137906449823e+000	-1.09638175605474e+002
1.07977516232771e+001	8.40650869434667e+000	-1.12967791232528e+002
1.16591440117983e+001	8.88198743948319e+000	-1.16295401970319e+002
1.25892541179417e+001	9.31826683411469e+000	-1.19599610685225e+002
1.35935639087853e+001	9.71627633656442e+000	-1.22860263264795e+002
1.46779926762207e+001	1.00773627433159e+001	-1.26058914038117e+002
1.58489319246111e+001	1.04032199154646e+001	-1.29179179088789e+002
1.71132830416178e+001	1.06958133414342e+001	-1.32206972073037e+002
1.84784979742229e+001	1.09573039075025e+001	-1.35130625034050e+002
1.99526231496888e+001	1.11899747652002e+001	-1.37940903702712e+002
2.15443469003188e+001	1.13961644411883e+001	-1.40630932221530e+002
2.32630506715363e+001	1.15782084348256e+001	-1.43196045693795e+002
2.51188643150958e+001	1.17383906093878e+001	-1.45633590337682e+002
2.71227257933203e+001	1.18789048115754e+001	-1.47942690518804e+002
2.92864456462524e+001	1.20018264288499e+001	-1.50123999971130e+002
