Frecuencia	Ganancia	Fase
1.00000000000000e+000	-1.62845766675724e+001	-4.38598047282229e+001
1.07977516232771e+000	-1.52948695165296e+001	-4.57509268737944e+001
1.16591440117983e+000	-1.43240569864711e+001	-4.76045898977879e+001
1.25892541179417e+000	-1.33706292994348e+001	-4.94124841671991e+001
1.35935639087853e+000	-1.24328239931045e+001	-5.11683117311441e+001
1.46779926762207e+000	-1.15086836840360e+001	-5.28681193015233e+001
1.58489319246111e+000	-1.05961230294294e+001	-5.45105533700141e+001
1.71132830416178e+000	-9.69300233779311e+000	-5.60970301055760e+001
1.84784979742229e+000	-8.79720547854131e+000	-5.76318159862343e+001
1.99526231496888e+000	-7.90671997477191e+000	-5.91220167580494e+001
2.15443469003188e+000	-7.01971728520626e+000	-6.05774726493016e+001
2.32630506715363e+000	-6.13463119764938e+000	-6.20105576108026e+001
2.51188643150958e+000	-5.25023195484304e+000	-6.34358807220758e+001
2.71227257933203e+000	-4.36569328651952e+000	-6.48698897371735e+001
2.92864456462524e+000	-3.48064907160149e+000	-6.63303806327522e+001
3.16227766016838e+000	-2.59523608160100e+000	-6.78359230040267e+001
3.41454887383360e+000	-1.71011933105170e+000	-6.94052186481447e+001
3.68694506451958e+000	-8.26497098657813e-001	-7.10564185564474e+001
3.98107170553497e+000	5.39162926367004e-002	-7.28064303822392e+001
4.29866234708228e+000	9.28930418749858e-001	-7.46702528609958e+001
4.64158883361278e+000	1.79594024014673e+000	-7.66603745980705e+001
5.01187233627272e+000	2.65200628054315e+000	-7.87862716635569e+001
5.41169526546464e+000	3.49394920674111e+000	-8.10540317794562e+001
5.84341413373518e+000	4.31845349725764e+000	-8.34661233881338e+001
6.30957344480193e+000	5.12217441485334e+000	-8.60213168118464e+001
6.81292069057961e+000	5.90184261383639e+000	-8.87147535078014e+001
7.35642254459641e+000	6.65436136999104e+000	-9.15381495210311e+001
7.94328234724281e+000	7.37689249105068e+000	-9.44801118229332e+001
8.57695898590894e+000	8.06692825955915e+000	-9.75265420367168e+001
9.26118728128793e+000	8.72234805889125e+000	-1.00661101230446e+002
1.00000000000000e+001	9.34145943392202e+000	-1.03865711485332e+002
1.07977516232771e+001	9.92302410095371e+000	-1.07121073751210e+002
1.16591440117983e+001	1.04662698085129e+001	-1.10407185742149e+002
1.25892541179417e+001	1.09708890308485e+001	-1.13703847082286e+002
1.35935639087853e+001	1.14370254008767e+001	-1.16991140857404e+002
1.46779926762207e+001	1.18652487347873e+001	-1.20249881132222e+002
1.58489319246111e+001	1.22565196038370e+001	-1.23462015481411e+002
1.71132830416178e+001	1.26121447204177e+001	-1.26610971149703e+002
1.84784979742229e+001	1.29337248766953e+001	-1.29681934068079e+002
1.99526231496888e+001	1.32230976811726e+001	-1.32662052182140e+002
2.15443469003188e+001	1.34822777334421e+001	-1.35540558393398e+002
2.32630506715363e+001	1.37133970392933e+001	-1.38308813338071e+002
2.51188643150958e+001	1.39186483413850e+001	-1.40960273380220e+002
2.71227257933203e+001	1.41002336422529e+001	-1.43490393699098e+002
2.92864456462524e+001	1.42603196026093e+001	-1.45896479544667e+002
3.16227766016838e+001	1.44010008141288e+001	-1.48177500307354e+002
3.41454887383360e+001	1.45242712760284e+001	-1.50333881035149e+002
3.68694506451957e+001	1.46320038295580e+001	-1.52367284730721e+002
3.98107170553497e+001	1.47259368705268e+001	-1.54280396604194e+002
4.29866234708228e+001	1.48076673814138e+001	-1.56076718889366e+002
4.64158883361278e+001	1.48786491896794e+001	-1.57760382229393e+002
5.01187233627272e+001	1.49401953408909e+001	-1.59335977270930e+002
5.41169526546464e+001	1.49934835416515e+001	-1.60808408128243e+002
5.84341413373518e+001	1.50395637458773e+001	-1.62182767849421e+002
6.30957344480193e+001	1.50793671025716e+001	-1.63464234924937e+002
6.81292069057961e+001	1.51137156331250e+001	-1.64657989171732e+002
7.35642254459641e+001	1.51433321484293e+001	-1.65769144931716e+002
7.94328234724281e+001	1.51688500423669e+001	-1.66802699366598e+002
8.57695898590894e+001	1.51908227052571e+001	-1.67763493642194e+002
9.26118728128793e+001	1.52097323878325e+001	-1.68656184916774e+002
